ring	date	sex	age	site
EC63533	2021-08-22	F	A	Wuerm
EC63501	2021-08-22	F	A	Wuerm
EC63510	2021-08-22	M	A	Wuerm
EC63511	2021-08-22	M	A	Wuerm
EC60764	2021-08-22	M	A	Wuerm
EC60764	2021-08-18	M	A	Wuerm
EC63533	2021-08-18	F	A	Wuerm
EC60764	2021-08-05	M	A	Wuerm
EC60781	2021-08-05	M	A	Wuerm
EC63510	2021-07-25	M	A	Wuerm
EC60791	2021-08-28	F	A	Wuerm
EC60800	2021-09-08	F	A	Wuerm
EC63501	2021-09-08	F	A	Wuerm
EC60764	2021-09-08	M	A	Wuerm
EC63536	2021-09-08	M	A	Wuerm
EC63511	2021-09-08	M	A	Wuerm
EC60781	2021-09-08	M	A	Wuerm
EC63535	2021-11-16	F	A	Luessbach
EC60781	2021-11-10	M	A	Wuerm
EC63510	2021-11-28	M	A	Wuerm
EC63502	2021-11-28	M	A	Wuerm
EC63501	2021-11-28	F	A	Wuerm
EC60764	2021-11-28	M	A	Wuerm
EC60781	2021-11-28	M	A	Wuerm
EC60764	2022-02-08	M	A	Wuerm
EC60778	2022-02-04	F	A	Wuerm
EC60778	2022-02-18	F	A	Wuerm
EC60764	2022-02-23	M	A	Wuerm
EC60781	2021-12-18	M	A	Wuerm
EC63536	2021-12-18	M	A	Wuerm
EC63535	2021-12-18	F	A	Luessbach
EC60729	2021-12-18	F	A	Luessbach
EC60792	2021-12-05	F	A	MaisingerBach
EC60762	2021-12-05	U	A	MaisingerBach
EC60772	2021-12-05	M	A	MaisingerBach
EC60791	2021-12-12	F	A	Wuerm
EC60800	2021-12-18	F	A	Wuerm
EC63504	2021-12-31	M	A	Kienbach
EC60778	2021-12-26	F	A	Wuerm
EC63510	2021-12-26	M	A	Wuerm
EC60800	2022-01-29	F	A	Wuerm
EC60764	2022-01-23	M	A	Wuerm
EC63536	2022-02-20	M	A	Wuerm
EC63501	2022-02-13	F	A	Wuerm
EC60764	2022-02-13	M	A	Wuerm
EC60800	2022-02-12	F	A	Wuerm
EC60781	2022-02-12	M	A	Wuerm
EC63501	2022-02-08	F	A	Wuerm
EC60792	2022-02-25	F	A	MaisingerBach
EC60800	2022-03-20	F	A	Wuerm
EC60781	2022-04-24	M	A	Wuerm
EC63536	2022-04-20	M	A	Wuerm
EC60781	2022-04-20	M	A	Wuerm
EC63566	2022-04-24	U	A	Wuerm
EC63553	2022-04-28	U	A	Wuerm
EC63553	2022-04-28	U	A	Wuerm
EC63536	2022-04-27	M	A	Wuerm
EC60764	2022-05-16	M	A	Wuerm
EC60779	2022-05-16	F	A	Wuerm
EC60778	2022-05-16	F	A	Wuerm
EC63510	2022-05-16	M	A	Wuerm
EC60764	2022-05-07	M	A	Wuerm
EC63552	2022-08-02	F	A	Starzenbach
EC63501	2022-07-02	F	A	Wuerm
EC63536	2022-07-02	M	A	Wuerm
EC63566	2022-07-02	U	A	Wuerm
EC60764	2022-06-04	M	A	Wuerm
EC63501	2022-06-04	F	A	Wuerm
EC63502	2022-06-04	M	A	Wuerm
EC63533	2022-10-27	F	A	Wuerm
EC63533	2022-10-26	F	A	Wuerm
