ring	date	sex	age	site
EC63545	2021-06-01	U	J	Aubach
EC63546	2021-06-01	M	J	Aubach
EC63547	2021-06-11	U	J	Wuerm
EC63548	2021-06-11	U	J	Wuerm
EC63549	2021-06-13	U	J	Luessbach
EC63550	2021-06-13	U	J	Luessbach
EC63551	2021-06-13	U	J	Luessbach
EC63552	2021-11-16	F	A	Starzenbach
EC63553	2022-03-14	U	J	Wuerm
EC63554	2022-03-14	U	J	Wuerm
EC63555	2022-03-14	U	J	Wuerm
EC63556	2022-03-14	U	J	Wuerm
EC63557	2022-03-14	U	J	Wuerm
EC63558	2022-03-14	U	J	Wuerm
EC63559	2022-03-14	U	J	Wuerm
EC63560	2022-03-14	U	J	Wuerm
EC63561	2022-03-29	U	J	Wuerm
EC63562	2022-03-29	U	J	Wuerm
EC63563	2022-03-29	U	J	Wuerm
EC63564	2022-03-30	U	J	MaisingerBach
EC63565	2022-03-30	U	J	MaisingerBach
EC63566	2022-04-16	U	J	Wuerm
EC63567	2022-04-16	U	J	Wuerm
EC63568	2022-04-16	U	J	Wuerm
EC63569	2022-04-16	U	J	Wuerm
EC63570	2022-04-16	U	J	Wuerm
EC63571	2022-04-16	U	J	Starzenbach
EC63572	2022-04-16	U	J	Starzenbach
EC63573	2022-04-16	U	J	Starzenbach
EC63574	2022-04-27	U	J	Luessbach
EC63575	2022-04-27	U	J	Luessbach
EC63576	2022-04-27	U	J	Luessbach
EC63577	2022-04-27	U	J	Luessbach
EC63578	2022-04-27	U	J	Luessbach
EC63579	2022-04-27	U	J	Luessbach
EC63580	2022-04-27	U	J	Luessbach
EC63584	2022-05-18	U	J	Wuerm
EC63585	2022-05-18	U	J	Wuerm
EC63586	2022-05-18	U	J	Wuerm
EC63587	2022-05-18	U	J	Wuerm
EC63588	2022-05-18	U	J	Wuerm
EC63589	2022-05-18	U	J	Wuerm
EC63590	2022-05-18	U	J	Wuerm
EC63591	2022-05-18	U	J	Wuerm
EC60707	2018-04-03	M	A	Wuerm
EC60706	2018-04-17	F	A	Wuerm
EC60779	2020-09-17	F	A	Wuerm
EC60771	2020-09-17	F	A	Wuerm
EC60764	2020-09-17	M	A	Wuerm
EC60703	2020-09-27	F	A	Aubach
EC60771	2020-10-03	F	A	Wuerm
EC60707	2018-04-24	M	A	Wuerm
EC60701	2018-05-10	F	A	Kienbach
EC60706	2018-05-05	F	A	Wuerm
EC60710	2018-05-12	F	A	Wuerm
EC60707	2018-05-12	M	A	Wuerm
EC60706	2018-05-12	F	A	Wuerm
EC60779	2020-10-03	F	A	Wuerm
EC60701	2020-10-04	F	A	Kienbach
EC60791	2020-10-10	F	A	Wuerm
EC60781	2020-10-20	M	A	Wuerm
EC63501	2020-11-03	F	A	Wuerm
EC60705	2018-01-28	M	A	Wuerm
EC60707	2018-02-02	M	A	Wuerm
EC60706	2018-02-02	F	A	Wuerm
EC60701	2018-02-04	F	A	Kienbach
EC60707	2018-02-04	M	A	Wuerm
EC60708	2018-02-10	F	A	Wuerm
EC60707	2018-03-04	M	A	Wuerm
EC60706	2018-03-17	F	A	Wuerm
EC60707	2018-03-17	M	A	Wuerm
EC60703	2018-03-17	F	A	Aubach
EC60704	2018-03-17	M	A	Aubach
EC60734	2019-04-26	F	A	Wuerm
EC60701	2019-04-28	F	A	Kienbach
EC60730	2019-04-28	M	A	Wuerm
EC60746	2019-05-09	M	A	Wuerm
EC60765	2019-05-14	U	A	Wuerm
EC60730	2019-05-14	M	A	Wuerm
EC60754	2019-05-14	U	A	Wuerm
EC60752	2019-05-14	M	A	Wuerm
EC60730	2019-01-05	M	A	Wuerm
EC60735	2019-01-05	M	A	Wuerm
EC60746	2019-01-05	M	A	Wuerm
EC60734	2019-01-05	F	A	Wuerm
EC60717	2019-01-08	F	A	Wuerm
EC60745	2019-01-13	M	A	Wuerm
EC60728	2019-01-13	M	A	Wuerm
EC60735	2019-01-13	M	A	Wuerm
EC60730	2019-01-13	M	A	Wuerm
EC60746	2019-01-13	M	A	Wuerm
EC60734	2019-01-13	F	A	Wuerm
EC60717	2019-01-12	F	A	Wuerm
EC60747	2019-01-12	M	A	Wuerm
EC60707	2018-01-21	M	A	Wuerm
EC60707	2018-01-21	M	A	Wuerm
EC60706	2018-01-21	F	A	Wuerm
EC60708	2018-01-27	F	A	Wuerm
EC60708	2018-01-27	F	A	Wuerm
EC60708	2018-01-27	F	A	Wuerm
EC60707	2018-01-28	M	A	Wuerm
EC60707	2018-01-28	M	A	Wuerm
EC60706	2018-01-28	F	A	Wuerm
EC60703	2018-02-11	F	A	Aubach
EC60704	2018-02-11	M	A	Aubach
EC60707	2018-02-10	M	A	Wuerm
EC60771	2020-01-12	F	A	Wuerm
EC60764	2020-01-12	M	A	Wuerm
EC60752	2020-01-14	M	A	Wuerm
EC60764	2020-01-27	M	A	Wuerm
EC60752	2020-01-27	M	A	Wuerm
EC60771	2020-01-27	F	A	Wuerm
EC60772	2020-12-17	M	A	MaisingerBach
EC60779	2020-12-15	F	A	Wuerm
EC60800	2020-12-15	F	A	Wuerm
EC60764	2020-12-15	M	A	Wuerm
EC60778	2020-12-20	F	A	Wuerm
EC63505	2020-12-20	M	A	Wuerm
EC60764	2020-12-20	M	A	Wuerm
EC60752	2019-12-20	M	A	Wuerm
EC60752	2020-01-12	M	A	Wuerm
EC60772	2020-02-17	M	A	Wuerm
EC60764	2020-02-17	M	A	Wuerm
EC60771	2020-02-17	F	A	Wuerm
EC60772	2020-03-17	M	A	Wuerm
EC60706	2018-05-26	F	A	Wuerm
EC60703	2018-05-26	F	A	Aubach
EC60719	2018-05-31	U	A	Wuerm
EC60706	2018-02-10	F	A	Wuerm
EC60706	2018-02-08	F	A	Wuerm
EC60707	2018-02-08	M	A	Wuerm
EC60706	2018-02-14	F	A	Wuerm
EC60702	2018-03-10	M	A	MaisingerBach
EC60719	2018-05-26	U	A	Wuerm
EC60730	2019-01-05	M	A	Wuerm
EC60745	2018-11-17	M	A	Wuerm
EC60745	2018-11-25	M	A	Wuerm
EC60735	2018-11-25	M	A	Wuerm
EC60728	2018-11-25	M	A	Wuerm
EC60730	2018-11-25	M	A	Wuerm
EC60746	2018-11-25	M	A	Wuerm
EC60734	2018-11-25	F	A	Wuerm
EC60707	2019-01-23	M	A	Wuerm
EC60728	2019-01-26	M	A	Wuerm
EC60728	2019-01-23	M	A	Wuerm
EC60746	2019-01-26	M	A	Wuerm
EC60735	2019-01-26	M	A	Wuerm
EC60701	2019-01-26	F	A	Kienbach
EC60728	2019-01-27	M	A	Wuerm
EC60728	2019-01-27	M	A	Wuerm
EC60711	2019-01-27	F	A	Wuerm
EC60747	2019-01-27	M	A	Wuerm
EC60762	2020-05-23	U	A	MaisingerBach
EC60746	2018-09-30	M	A	Wuerm
EC60746	2018-10-01	M	A	Wuerm
EC60710	2018-09-30	F	A	Wuerm
EC60728	2018-09-30	M	A	Wuerm
EC60728	2018-10-01	M	A	Wuerm
EC60707	2018-09-30	M	A	Wuerm
EC60706	2018-09-30	F	A	Wuerm
EC60706	2018-10-01	F	A	Wuerm
EC60730	2019-01-27	M	A	Wuerm
EC60746	2019-01-27	M	A	Wuerm
EC60734	2019-01-27	F	A	Wuerm
EC60710	2019-01-27	F	A	Wuerm
EC63511	2021-10-16	M	A	Wuerm
EC63533	2021-10-16	F	A	Wuerm
EC60781	2021-10-31	M	A	Wuerm
EC60764	2021-10-31	M	A	Wuerm
